
(base) C:\Users\User>conda activate myenv

(myenv) C:\Users\User>python game-model-showdown.py
`low_cpu_mem_usage` was None, now default to True since model is quantized.
`low_cpu_mem_usage` was None, now default to True since model is quantized.
Original TinyLlama 0000. Challenger LLM 0001. Games Played 0001. Original started.
Original TinyLlama 0000. Challenger LLM 0002. Games Played 0002. Challenger started.
Original TinyLlama 0000. Challenger LLM 0003. Games Played 0003. Original started.
Original TinyLlama 0000. Challenger LLM 0004. Games Played 0004. Challenger started.
Original TinyLlama 0000. Challenger LLM 0005. Games Played 0005. Original started.
Original TinyLlama 0000. Challenger LLM 0006. Games Played 0006. Challenger started.
Original TinyLlama 0000. Challenger LLM 0007. Games Played 0007. Original started.
Original TinyLlama 0000. Challenger LLM 0008. Games Played 0008. Challenger started.
Original TinyLlama 0000. Challenger LLM 0009. Games Played 0009. Original started.
Original TinyLlama 0000. Challenger LLM 0010. Games Played 0010. Challenger started.
Original TinyLlama 0000. Challenger LLM 0011. Games Played 0011. Original started.
Original TinyLlama 0000. Challenger LLM 0012. Games Played 0012. Challenger started.
Original TinyLlama 0000. Challenger LLM 0013. Games Played 0013. Original started.
Original TinyLlama 0000. Challenger LLM 0014. Games Played 0014. Challenger started.
Original TinyLlama 0000. Challenger LLM 0015. Games Played 0015. Original started.
Original TinyLlama 0000. Challenger LLM 0016. Games Played 0016. Challenger started.
Original TinyLlama 0000. Challenger LLM 0017. Games Played 0017. Original started.
Original TinyLlama 0000. Challenger LLM 0018. Games Played 0018. Challenger started.
Original TinyLlama 0000. Challenger LLM 0019. Games Played 0019. Original started.
Original TinyLlama 0000. Challenger LLM 0019. Games Played 0020. Challenger started.
Original TinyLlama 0000. Challenger LLM 0019. Games Played 0021. Original started.
Original TinyLlama 0000. Challenger LLM 0020. Games Played 0022. Challenger started.
Original TinyLlama 0001. Challenger LLM 0020. Games Played 0023. Original started.
Original TinyLlama 0001. Challenger LLM 0021. Games Played 0024. Challenger started.
Original TinyLlama 0001. Challenger LLM 0022. Games Played 0025. Original started.
Original TinyLlama 0001. Challenger LLM 0023. Games Played 0026. Challenger started.
Original TinyLlama 0001. Challenger LLM 0024. Games Played 0027. Original started.
Original TinyLlama 0001. Challenger LLM 0025. Games Played 0028. Challenger started.
Original TinyLlama 0001. Challenger LLM 0026. Games Played 0029. Original started.
Original TinyLlama 0001. Challenger LLM 0027. Games Played 0030. Challenger started.
Original TinyLlama 0001. Challenger LLM 0028. Games Played 0031. Original started.
